"filename","barcode","image_order","mime_type"
"12800-00001-000014-130.tif","5164093155","","image/tiff"
"12800-00001-000014-140.tif","3164093164","","image/tiff"
"12800-00001-000015-010.tif","1164093173","","image/tiff"
"12800-00001-000015-020.tif","9164093182","","image/tiff"
"12800-00001-000015-030.tif","7164093191","","image/tiff"
"12800-00001-000015-040.tif","5164093208","","image/tiff"
"12800-00001-000015-050.tif","3164093217","","image/tiff"
"12800-00001-000015-060.tif","1164093226","","image/tiff"
"12800-00001-000015-070.tif","9164093235","","image/tiff"
"12800-00001-000015-080.tif","7164093244","","image/tiff"
"12800-00001-000015-090.tif","4164093253","","image/tiff"
"12800-00001-000015-100.tif","2164093262","","image/tiff"
"12800-00001-000015-110.tif","0164093271","","image/tiff"
"12800-00001-000015-120.tif","8164093280","","image/tiff"
"12800-00001-000015-130.tif","6164093299","","image/tiff"
"12800-00001-000015-140.tif","4164093306","","image/tiff"
"12800-00001-000015-150.tif","2164093315","","image/tiff"
"12800-00001-000016-010.tif","0164093324","","image/tiff"
"12800-00001-000016-020.tif","8164093333","","image/tiff"
"12800-00001-000016-030.tif","6164093342","","image/tiff"
"12800-00001-000016-040.tif","3164093351","","image/tiff"
"12800-00001-000016-050.tif","1164093360","","image/tiff"
"12800-00001-000016-060.tif","9164093379","","image/tiff"
"12800-00001-000016-070.tif","7164093388","","image/tiff"
"12800-00001-000016-080.tif","5164093397","","image/tiff"
"12800-00001-000016-090.tif","3164093404","","image/tiff"
"12800-00001-000016-100.tif","1164093413","","image/tiff"
"12800-00001-000016-110.tif","9164093422","","image/tiff"
"12800-00001-000016-120.tif","7164093431","","image/tiff"
"12800-00001-000016-130.tif","5164093440","","image/tiff"
"12800-00001-000017-010.tif","2164093459","","image/tiff"
"12800-00001-000017-020.tif","0164093468","","image/tiff"
"12800-00001-000017-030.tif","8164093477","","image/tiff"
"12800-00001-000017-040.tif","6164093486","","image/tiff"
"12800-00001-000017-050.tif","4164093495","","image/tiff"
"12800-00001-000017-060.tif","2164093501","","image/tiff"
"12800-00001-000017-070.tif","0164093510","","image/tiff"
"12800-00001-000017-080.tif","8164093529","","image/tiff"
"12800-00001-000017-090.tif","6164093538","","image/tiff"
"12800-00001-000017-100.tif","4164093547","","image/tiff"
"12800-00001-000017-110.tif","1164093556","","image/tiff"
"12800-00001-000017-120.tif","9164093565","","image/tiff"
"12800-00001-000017-130.tif","7164093574","","image/tiff"
"12800-00001-000017-140.tif","5164093583","","image/tiff"
"12800-00001-000017-150.tif","3164093592","","image/tiff"
"12800-00001-000018-010.tif","1164093609","","image/tiff"
"12800-00001-000018-020.tif","9164093618","","image/tiff"
"12800-00001-000018-030.tif","7164093627","","image/tiff"
"12800-00001-000018-040.tif","5164093636","","image/tiff"
"12800-00001-000018-050.tif","3164093645","","image/tiff"
"12800-00001-000018-060.tif","0164093654","","image/tiff"
"12800-00001-000018-070.tif","8164093663","","image/tiff"
"12800-00001-000018-080.tif","6164093672","","image/tiff"
"12800-00001-000018-090.tif","4164093681","","image/tiff"
"12800-00001-000018-100.tif","2164093690","","image/tiff"
"12800-00001-000018-110.tif","0164093707","","image/tiff"
"12800-00001-000018-120.tif","8164093716","","image/tiff"
"12800-00001-000018-130.tif","6164093725","","image/tiff"
"12800-00001-000018-140.tif","4164093734","","image/tiff"
"12800-00001-000019-010.tif","2164093743","","image/tiff"
"12800-00001-000019-020.tif","9164093752","","image/tiff"
"12800-00001-000019-030.tif","7164093761","","image/tiff"
"12800-00001-000019-040.tif","5164093770","","image/tiff"
"12800-00001-000019-050.tif","3164093789","","image/tiff"
"12800-00001-000019-060.tif","1164093798","","image/tiff"
"12800-00001-000019-070.tif","9164093805","","image/tiff"
"12800-00001-000019-080.tif","7164093814","","image/tiff"
"12800-00001-000019-090.tif","5164093823","","image/tiff"
"12800-00001-000019-100.tif","3164093832","","image/tiff"
"12800-00001-000019-110.tif","1164093841","","image/tiff"
"12800-00001-000019-120.tif","8164093850","","image/tiff"
"12800-00001-000019-130.tif","3164138321","","image/tiff"
"12800-00001-000019-140.tif","1164138330","","image/tiff"
"12800-00001-000019-150.tif","9164138349","","image/tiff"
"12800-00001-000020-010.tif","6164138358","","image/tiff"
"12800-00001-000020-020.tif","6164093869","","image/tiff"
"12800-00001-000020-030.tif","4164093878","","image/tiff"
"12800-00001-000020-040.tif","2164093887","","image/tiff"
"12800-00001-000020-050.tif","0164093896","","image/tiff"
"12800-00001-000020-060.tif","8164093903","","image/tiff"
"12800-00001-000020-070.tif","6164093912","","image/tiff"
"12800-00001-000020-080.tif","4164093921","","image/tiff"
"12800-00001-000020-090.tif","2164093930","","image/tiff"
"12800-00001-000020-100.tif","0164093949","","image/tiff"
"12800-00001-000020-110.tif","7164093958","","image/tiff"
"12800-00001-000020-120.tif","5164093967","","image/tiff"
"12800-00001-000020-130.tif","3164093976","","image/tiff"
"12800-00001-000020-140.tif","1164093985","","image/tiff"
"12800-00001-000020-150.tif","9164093994","","image/tiff"
"12800-00001-000020-160.tif","5164094001","","image/tiff"
"12800-00001-000021-010.tif","3164094010","","image/tiff"
"12800-00001-000021-020.tif","1164094029","","image/tiff"
"12800-00001-000021-030.tif","9164094038","","image/tiff"
"12800-00001-000021-040.tif","7164094047","","image/tiff"
"12800-00001-000021-050.tif","4164094056","","image/tiff"
"12800-00001-000021-060.tif","2164094065","","image/tiff"
"12800-00001-000021-070.tif","0164094074","","image/tiff"
"12800-00001-000021-080.tif","8164094083","","image/tiff"
"12800-00001-000021-090.tif","6164094092","","image/tiff"
"12800-00001-000021-100.tif","4164094109","","image/tiff"
"12800-00001-000021-110.tif","4164138367","","image/tiff"
"12800-00001-000021-120.tif","2164094118","","image/tiff"
"12800-00001-000021-130.tif","0164094127","","image/tiff"
"12800-00001-000021-140.tif","8164094136","","image/tiff"
"12800-00001-000021-150.tif","6164094145","","image/tiff"
"12800-00001-000021-160.tif","3164094154","","image/tiff"
"12800-00001-000022-010.tif","1164094163","","image/tiff"
"12800-00001-000022-020.tif","9164094172","","image/tiff"
"12800-00001-000022-030.tif","7164094181","","image/tiff"
"12800-00001-000022-040.tif","5164094190","","image/tiff"
"12800-00001-000022-050.tif","3164094207","","image/tiff"
"12800-00001-000022-060.tif","1164094216","","image/tiff"
"12800-00001-000022-070.tif","9164094225","","image/tiff"
"12800-00001-000022-080.tif","7164094234","","image/tiff"
"12800-00001-000022-090.tif","5164094243","","image/tiff"
"12800-00001-000022-100.tif","2164094252","","image/tiff"
"12800-00001-000022-110.tif","0164094261","","image/tiff"
"12800-00001-000022-120.tif","8164094270","","image/tiff"
"12800-00001-000022-130.tif","6164094289","","image/tiff"
"12800-00001-000022-140.tif","4164094298","","image/tiff"
"12800-00001-000022-150.tif","2164138376","","image/tiff"
"12800-00001-000023-010.tif","2164094305","","image/tiff"
"12800-00001-000023-020.tif","0164094314","","image/tiff"
"12800-00001-000023-030.tif","8164094323","","image/tiff"
"12800-00001-000023-040.tif","6164094332","","image/tiff"
"12800-00001-000023-050.tif","4164094341","","image/tiff"
"12800-00001-000023-060.tif","1164094350","","image/tiff"
"12800-00001-000023-070.tif","9164094369","","image/tiff"
"12800-00001-000023-080.tif","7164094378","","image/tiff"
"12800-00001-000023-090.tif","3164094396","","image/tiff"
"12800-00001-000023-100.tif","5164094387","","image/tiff"
"12800-00001-000023-110.tif","1164094403","","image/tiff"
"12800-00001-000023-120.tif","9164094412","","image/tiff"
"12800-00001-000023-130.tif","0164138385","","image/tiff"
"12800-00001-000023-140.tif","7164094421","","image/tiff"
"12800-00001-000023-150.tif","5164094430","","image/tiff"
"12800-00001-000023-160.tif","3164094449","","image/tiff"
"12800-00001-000024-010.tif","0164094458","","image/tiff"
"12800-00001-000024-020.tif","8164094467","","image/tiff"
"12800-00001-000024-030.tif","6164094476","","image/tiff"
"12800-00001-000024-040.tif","4164094485","","image/tiff"
"12800-00001-000024-050.tif","2164094494","","image/tiff"
"12800-00001-000024-060.tif","0164094500","","image/tiff"
"12800-00001-000024-070.tif","8164094519","","image/tiff"
"12800-00001-000024-080.tif","6164094528","","image/tiff"
"12800-00001-000024-090.tif","4164094537","","image/tiff"
"12800-00001-000024-100.tif","2164094546","","image/tiff"
"12800-00001-000024-110.tif","9164094555","","image/tiff"
"12800-00001-000024-120.tif","7164094564","","image/tiff"
"12800-00001-000024-130.tif","5164094573","","image/tiff"
"12800-00001-000024-140.tif","3164094582","","image/tiff"
"12800-00001-000024-150.tif","1164094591","","image/tiff"
"12800-00001-000024-160.tif","9164094608","","image/tiff"
"12800-00001-000024-170.tif","7164094617","","image/tiff"
"12800-00001-000024-180.tif","5164094626","","image/tiff"
"12800-00001-000025-010.tif","3164094635","","image/tiff"
"12800-00001-000025-020.tif","1164094644","","image/tiff"
"12800-00001-000025-030.tif","8164094653","","image/tiff"
"12800-00001-000025-040.tif","6164094662","","image/tiff"
"12800-00001-000025-050.tif","4164094671","","image/tiff"
"12800-00001-000025-060.tif","2164094680","","image/tiff"
"12800-00001-000025-070.tif","0164094699","","image/tiff"
"12800-00001-000025-080.tif","8164094706","","image/tiff"
"12800-00001-000025-090.tif","6164094715","","image/tiff"
"12800-00001-000025-100.tif","4164094724","","image/tiff"
"12800-00001-000025-110.tif","2164094733","","image/tiff"
"12800-00001-000025-120.tif","0164094742","","image/tiff"
"12800-00001-000025-130.tif","7164094751","","image/tiff"
"12800-00001-000025-140.tif","5164094760","","image/tiff"
"12800-00001-000025-150.tif","3164094779","","image/tiff"
"12800-00001-000026-010.tif","1164094788","","image/tiff"
"12800-00001-000026-020.tif","9164094797","","image/tiff"
"12800-00001-000026-030.tif","7164094804","","image/tiff"
"12800-00001-000026-040.tif","5164094813","","image/tiff"
"12800-00001-000026-050.tif","3164094822","","image/tiff"
"12800-00001-000026-060.tif","1164094831","","image/tiff"
"12800-00001-000026-070.tif","9164094840","","image/tiff"
"12800-00001-000026-080.tif","6164094859","","image/tiff"
"12800-00001-000026-090.tif","4164094868","","image/tiff"
"12800-00001-000026-100.tif","2164094877","","image/tiff"
"12800-00001-000026-110.tif","0164094886","","image/tiff"
"12800-00001-000026-120.tif","8164094895","","image/tiff"
"12800-00001-000026-130.tif","6164094902","","image/tiff"
"12800-00001-000026-140.tif","4164094911","","image/tiff"
"12800-00001-000026-150.tif","2164094920","","image/tiff"
"12800-00001-000027-010.tif","0164094939","","image/tiff"
"12800-00001-000027-020.tif","8164094948","","image/tiff"
"12800-00001-000027-030.tif","5164094957","","image/tiff"
"12800-00001-000027-040.tif","3164094966","","image/tiff"
"12800-00001-000027-050.tif","1164094975","","image/tiff"
"12800-00001-000027-060.tif","9164094984","","image/tiff"
"12800-00001-000027-070.tif","7164094993","","image/tiff"
"12800-00001-000027-080.tif","2164095000","","image/tiff"
"12800-00001-000027-090.tif","0164095019","","image/tiff"
"12800-00001-000027-100.tif","8164095028","","image/tiff"
"12800-00001-000027-110.tif","6164095037","","image/tiff"
"12800-00001-000027-120.tif","4164095046","","image/tiff"
"12800-00001-000027-130.tif","1164095055","","image/tiff"
"12800-00001-000027-140.tif","9164095064","","image/tiff"
"12800-00001-000027-150.tif","7164095073","","image/tiff"
"12800-00001-000028-010.tif","5164095082","","image/tiff"
"12800-00001-000028-020.tif","3164095091","","image/tiff"
"12800-00001-000028-030.tif","1164095108","","image/tiff"
"12800-00001-000028-040.tif","9164095117","","image/tiff"
"12800-00001-000028-050.tif","7164095126","","image/tiff"
"12800-00001-000028-060.tif","5164095135","","image/tiff"
